"author_channel_url","author_channel_url_number"
"https://youtube.com/channel/UC-LDIbIe9MlqSwwDbpIew6g","0000326"
"https://youtube.com/channel/UC-LEAy3TiysdR3jwNteIZnA","0003811"
"https://youtube.com/channel/UC-LKJGAvofcDuecHz0noG3g","0009466"
"https://youtube.com/channel/UC-LNadQ-x0d61SKs_sO6WhQ","0007243"
"https://youtube.com/channel/UC-LQUJBAlgFmAR2umM30p9Q","0013037"
"https://youtube.com/channel/UC-LeUC36Rz2aUWH_K7x7ZVw","0008776"
"https://youtube.com/channel/UC-Lh_OjlgWtjm9NUJpZbzNg","0012703"
"https://youtube.com/channel/UC-LywPAqG9TLKlTKwB91IsQ","0013410"
"https://youtube.com/channel/UC-LzYF_mFtR7f_8bQ_ev-qg","0013954"
"https://youtube.com/channel/UC-M-JQe_Sx1wtV_40Jog2Pg","0000389"
"https://youtube.com/channel/UC-MFFKodbJYaEih2c5dFw0A","0003624"
"https://youtube.com/channel/UC-MSq4qu9w0m7Ia2jo24zHQ","0011297"
"https://youtube.com/channel/UC-MYc-Fsc-CqauyjYWAbQKQ","0002476"
"https://youtube.com/channel/UC-Mk2_b6iQnYw6_20i4Nc8A","0001005"
"https://youtube.com/channel/UC-Mxd6wFdCdLmQD080h_iTw","0022803"
"https://youtube.com/channel/UC-N95KyBXcCKKiHWw96uapQ","0008009"
"https://youtube.com/channel/UC-NN_vUHYo9Mc-P_nQpcsbg","0020489"
"https://youtube.com/channel/UC-NPyH3Mle1BVYsKemo--nQ","0018440"
"https://youtube.com/channel/UC-NT5DRuFU5Rq42vh3HdbRA","0000127"
"https://youtube.com/channel/UC-NhNkPv7wRyOXHIfyNOhKg","0020279"
"https://youtube.com/channel/UC-Nj1k6kTwbntzCPyZjU7Gg","0023943"
"https://youtube.com/channel/UC-Nnu2-eKA0aRYrCSx3kHDQ","0015703"
"https://youtube.com/channel/UC-O7j-zzVA-zRoKGKEdGXnQ","0013373"
"https://youtube.com/channel/UC-OQwabbdMIstKWYNFuyXZg","0019100"
"https://youtube.com/channel/UC-OUfzVoMRiPas5HHX3foig","0012013"
"https://youtube.com/channel/UC-OivWp-ww5SIzHfNQnxLCA","0021805"
"https://youtube.com/channel/UC-OpUGa0spscJvEAjNESmaQ","0017443"
"https://youtube.com/channel/UC-OtwxQ_zyXgRh3IhCcpbRg","0026116"
"https://youtube.com/channel/UC-OzK71anOiQHG5GYtUTJsQ","0016082"
