"comment_thread_ID","comment_thread_number"
"Ugw-5c4dh6LWvXJ94s14AaABAg","013342"
"Ugw-5mz9_gzlgZuVsgh4AaABAg","009781"
"Ugw-702jyzUAjYWr_6J4AaABAg","013757"
"Ugw-7Ud7tbB_70kVvKx4AaABAg","000977"
"Ugw-7rNR88HPTXXgzI94AaABAg","021577"
"Ugw-9--OUblJKZ3uu2V4AaABAg","008418"
"Ugw-9NXP-0RSHOo860l4AaABAg","009692"
"Ugw-ALMkIjx8VHEW7dN4AaABAg","004124"
"Ugw-AXDSXwDmGzfP_BV4AaABAg","010324"
"Ugw-AnFtq3srmnvsAft4AaABAg","000774"
"Ugw-B1fg4TcWtRHSbNN4AaABAg","020559"
"Ugw-CXm3WUkFHeUacYh4AaABAg","008573"
"Ugw-D3Z2JleqKe8m17p4AaABAg","023113"
"Ugw-DwZfSj3STEuLFQV4AaABAg","001297"
"Ugw-EYIFIHkXJTlDK-l4AaABAg","008793"
"Ugw-EeVQSHxVtvPd7q94AaABAg","002406"
"Ugw-GTr89EqASOxsHAZ4AaABAg","019435"
"Ugw-GVF9WBR4TaHdyXt4AaABAg","001394"
"Ugw-GpdRKa4IsA87iKZ4AaABAg","011884"
"Ugw-GvGmfgJlpfq9o694AaABAg","008041"
"Ugw-HxlcQaStcnAGhXN4AaABAg","008584"
"Ugw-IHUYkoJDOSejIQN4AaABAg","017686"
"Ugw-JvDCy7PCWy7-7qV4AaABAg","022209"
"Ugw-LKBz_i80CVColUx4AaABAg","017608"
"Ugw-LeS9IdVoCiQKbb54AaABAg","022215"
"Ugw-MITekiMp1ABDaiB4AaABAg","001583"
