"author_channel_ID","author_number"
"UC-XM35-xRg75syX2-0lL7vQ","0014490"
"UC-XS9bOD2lb3d5f3Xwx5C4g","0019936"
"UC-XtHCiJeklAcQ9yMAP9Vxg","0021552"
"UC-XwoVgNmzxs2N8GLaO7y_A","0008353"
"UC-Y7mgcGxgwPvmyCsAXZYyA","0012169"
"UC-YL_Pyw_Y3IwqjK9bdhMYA","0009056"
"UC-YPUF31aaOmgK2316g2nhg","0020552"
"UC-Yq2dQg-90HixJcLA2sxAw","0000150"
"UC-Yu3Ll8qpTQSBd98ayNMmA","0008101"
"UC-Yycb0gQe_iRbSPIBBzXFQ","0009797"
"UC-ZHoy4A07o6B3sP64ooIbg","0008865"
"UC-ZUKiONEg7toq1u35vltGA","0010103"
"UC-ZYLrxnzpbhhjc9q0zhe4Q","0009345"
"UC-Zf4NFqfyjSuQbsv_Qx55g","0016713"
"UC-ZponNSgYwOyTAt3TOMl8w","0014069"
"UC-_-GDZSdB49mPFfSCbV9OA","0003452"
"UC-_SURm9O-wWHHRMtjUpi9w","0002991"
"UC-_ZuAH2sjLVGub60kgn76g","0006719"
"UC-_gmaEhVlr3xpzXux-RKzg","0021305"
"UC-_o_QqyrNXf45j6UMeOEnQ","0005850"
"UC-a1Tz0i8M9rIi-BO8Q_4rg","0011368"
"UC-aGaekEjz82u6DG0hO0lXg","0022671"
"UC-aNTnNIh051h5_TrwQoQFw","0003732"
"UC-a_nhVWXN4IvKQcuhZ3N_A","0020641"
"UC-aav66XV7pPO11EM_pCYWA","0022992"
"UC-apua-j99el5bTVQGyLMhw","0017110"
"UC-atuYiBydBReAcvxlHiqIA","0014846"
"UC-aywekLlBUKbEdAnsFRVUg","0007210"
"UC-bDI_pIUWQKgbldFbQWWiA","0016732"
"UC-b_UlvydwpIxqEz-9AWhcw","0021633"
"UC-biNbuNNqZAroBT45S_vzw","0015687"
"UC-cBtiDbS0AR4BxPxtU9NNw","0006872"
"UC-cPJ76ssxH5C74UPad_3eg","0019366"
"UC-cY-7ej2NShYBjZavDyk_Q","0007235"
"UC-caOlsuPWJ9iiWf1V04mig","0010888"
"UC-ciozkBnzBq4NHIkAfCudg","0014735"
"UC-cktHum0gTChtv2OCBbRCg","0022257"
"UC-cn0nBThzzUIoAb_-dt7Ow","0006938"
"UC-d-EJkNWpyD5UES1CPLi2A","0018398"
"UC-dAjHo5IT-1k_UQfFSP8Fw","0009198"
"UC-dJH6z-qg1UEjNPsv0J7ZQ","0018150"
"UC-dL3oE8ioxCy3Gfa-ZurDA","0004655"
"UC-dWYqADPJOTE4Xdks0_WHA","0011166"
"UC-e3a2DZjgN41EAvkhJ8oFg","0011392"
"UC-eKVhAumm1R_CzMFQas0mA","0021148"
"UC-f0Kq9lDYt152KKId8khMQ","0020669"
"UC-fHLjtsPkOuKcJ-r0mk01Q","0005208"
"UC-fN7I0sl6HGNPytky1_H6Q","0019512"
"UC-fq60klQ7UtPKkruhNh-rQ","0019188"
"UC-gQhs0HKVGxnJyymTYFOjA","0017950"
"UC-gk42sL2UW3GWO6mdf473Q","0011511"
"UC-gvP3p2Xw-StBGk-SivJlw","0008110"
"UC-hBsxi6gjwB_WS4W5cIR7Q","0015741"
"UC-hpRCJYhoKrxRpnX9WxvqQ","0007806"
"UC-i0ZKgorgEOTAmkxKFk62A","0001145"
"UC-iVcrfxxXpMKMdAlCa88pw","0003294"
"UC-id1OKfKSHTkRKtincEDFw","0019776"
"UC-if7fpdqyC9Vh9j0pVNOYA","0017429"
"UC-iigOwaXeTfEPeMbY4Gseg","0013298"
"UC-ird4D8GWq7Dvv_g1wx06A","0021133"
"UC-isIW6SxV0OEAx6jzhjEwA","0006518"
"UC-jAu1mIroWCLoP2obGeAXA","0022810"
"UC-jgX4TwdQFXt43UDRhNNNg","0020101"
"UC-jge2SardV-mIXCI_DNZ_g","0018976"
"UC-k1eklc6XA0-yej7Plq-lg","0009236"
"UC-kS3hbUQVVUSGlvbJRBazA","0021038"
"UC-l19yv1FUnzTAWNxFVUY3w","0019442"
"UC-l6_q9X0hLu0CwCOCJVp_w","0004068"
"UC-lfao986ZdqaPJthe1UNMg","0002778"
"UC-lgnRSmu_Br1eoHNyTiBbQ","0014927"
"UC-lrYsGTArg2OeOU469x8Dg","0020219"
"UC-m5TEr5MukRrKY1cBQ4gdQ","0004412"
"UC-mEZ_JJbkm1BAIjonIhZfg","0022295"
"UC-mHEzcd-DJyYb1fhfUKw4A","0022521"
"UC-mWM9jaYzFCkE9bTVHl8xw","0002319"
"UC-mXHeujB1zDoOEn4Y-_x8w","0005911"
"UC-m_MOzah0CYD3gxS99Kigw","0007467"
"UC-mawbfacBhtd60YJb8pGLA","0003660"
"UC-mcSAHYvwlTAqLcQBNedmA","0000434"
"UC-msyEZFGmL-bHQP_nRl05Q","0011185"
"UC-n3O8yh4geDJtn6q2LEfEg","0008841"
"UC-n7HON6tidjM5zLSVqHGsQ","0011403"
"UC-nJhM--FyOjXaBA_RxVepQ","0001689"
"UC-nQW0aJqGhTvCd9wv2quuA","0008082"
"UC-o20BhQTaToHYMVNgGI2ng","0010843"
"UC-oHfkZhhXezUDzxuZt9v8w","0006501"
"UC-oIuLVuoMFMbRQ0TLWpr1g","0022565"
"UC-p6rlZ8Szep0a6RHBY-5Ig","0002609"
"UC-ptA-vABQ3u4q7ecMiYNKw","0005833"
"UC-pw5kdT5xwnGbwReTGJIEQ","0022169"
"UC-qq_KGunV5bxBlE6cZQ6TQ","0013608"
"UC-qt3oVGy_ExXviFGywcXKA","0000789"
"UC-r84MZlBs7QFpafpCpM2bQ","0020321"
"UC-rLuuxHUza4i1bfwafwzPw","0021425"
"UC-rvkrqVGPoICmmQBg6RJAQ","0018895"
"UC-ryJWsga9PicHrM5iGt1WA","0011177"
"UC-s5YGb_ZCulNuYmi_FW2CA","0001983"
"UC-sOFkfgPOCoOfv528rwJlg","0022903"
"UC-sPrigsQWvLobc7rkB-bzA","0000649"
"UC-sZjURZheIGtzbgoaEIWyg","0008367"
"UC-scfq52CnwnslSLwCCieeg","0018202"
"UC-sivrON5C8AzpFQIbHlEyg","0017988"
