"comment_ID","comment_number"
"UggRllkYaH_6hngCoAEC","0020585"
"UggRyShzNGko2HgCoAEC","0005630"
"UggRyShzNGko2HgCoAEC.8EOhWkztPQX8EQ2vJ2C7gB","0005633"
"UggRyShzNGko2HgCoAEC.8EOhWkztPQX8dXWHfc2wrm","0005632"
"UggRyShzNGko2HgCoAEC.8EOhWkztPQX8t33xhr0Wtc","0005631"
"UggSPWYzFr6343gCoAEC","0017102"
"UggSPWYzFr6343gCoAEC.8NsNmVlFtCH8NsvhjYufXW","0017104"
"UggSPWYzFr6343gCoAEC.8NsNmVlFtCH8e6vlCuXX4k","0017103"
"UggSTqpWg7u0ongCoAEC","0017283"
"UggSYmjxBLV55HgCoAEC","0000636"
"UggSYmjxBLV55HgCoAEC.80h_lvNzaDK72QpVTuPIaC","0000637"
"UggT-iWnQAlNqngCoAEC","0000630"
"UggT26wfdkko1HgCoAEC","0023568"
"UggTAzFYckwT7XgCoAEC","0017312"
"UggTSob_qVawsXgCoAEC","0000551"
"UggTxkInkYjIH3gCoAEC","0006579"
"UggTxkInkYjIH3gCoAEC.7-H0Z7-SpuX707ojcQ-1bt","0006582"
"UggTxkInkYjIH3gCoAEC.7-H0Z7-SpuX7089lcsoK-H","0006581"
"UggTxkInkYjIH3gCoAEC.7-H0Z7-SpuX708B2t2zLHu","0006580"
"UggUT4pbNBPMS3gCoAEC","0005591"
"UggUT4pbNBPMS3gCoAEC.8EPyhDN3lnh8aJDdGf0n69","0005594"
"UggUT4pbNBPMS3gCoAEC.8EPyhDN3lnh8z_zYSRnF6L","0005593"
"UggUT4pbNBPMS3gCoAEC.8EPyhDN3lnh8zxYyG5eYYP","0005592"
"UggUZDWBN02rRngCoAEC","0023565"
"UggU_NWjek8SxngCoAEC","0017227"
"UggVLgMKqg4r_XgCoAEC","0000679"
"UggWG7zVDA6J1XgCoAEC","0029243"
"UggWTMOiCger-ngCoAEC","0030350"
"UggWTMOiCger-ngCoAEC.83NwzZWObzV88yhERU5WA6","0030353"
"UggWTMOiCger-ngCoAEC.83NwzZWObzV88yhK10jklQ","0030352"
"UggWTMOiCger-ngCoAEC.83NwzZWObzV8FAwVHRDZIE","0030351"
"UggWgT9Fi-el_HgCoAEC","0030236"
