"channel_url","channel_number"
"https://youtube.com/channel/UCabaQPYxxKepWUsEVQMT4Kw","0000373"
"https://youtube.com/channel/UCaclL8yAVeKMnUR-jF9YWoA","0000351"
"https://youtube.com/channel/UCaj1feEHBiI8srbkN40UF5g","0000383"
"https://youtube.com/channel/UCanYz-Sp1T9vAJsmOlJPovQ","0000019"
"https://youtube.com/channel/UCayu0UJJEV8m_bmU5vkgR_A","0000174"
"https://youtube.com/channel/UCbEBHh_I4pn0AKtZbMZs8AA","0000411"
"https://youtube.com/channel/UCb_JYhqnSdEejiznUm3XNqQ","0000107"
"https://youtube.com/channel/UCc8cHxAZ3jwWkrrDyaLwDUw","0000087"
"https://youtube.com/channel/UCcVxsFOMs75fuVGDYAQ2JEQ","0000412"
"https://youtube.com/channel/UCccGO61eZygnOLxERqUrjKA","0000402"
"https://youtube.com/channel/UCcrTWhrgTXBlEb41uUM253g","0000003"
"https://youtube.com/channel/UCcyq283he07B7_KUX07mmtA","0000172"
"https://youtube.com/channel/UCdV33WWUUx39lTEX2ew9g7g","0000095"
"https://youtube.com/channel/UCdZmX-f3TDaRhnhM4KLM4SQ","0000278"
"https://youtube.com/channel/UCdbiog6OhQS_prjNkgR6cAw","0000375"
"https://youtube.com/channel/UCde8Trd6_eL5jPOXIahRgYQ","0000252"
"https://youtube.com/channel/UCdqeR3EmZLb97chZ6I3wxEw","0000150"
"https://youtube.com/channel/UCeY0bbntWzzVIaj2z3QigXg","0000237"
"https://youtube.com/channel/UCe_Fx4EZAgKjDz0aQ_Y7hSA","0000336"
"https://youtube.com/channel/UCefnd-xkl95_wsIIAe2Fmaw","0000438"
"https://youtube.com/channel/UCfCxW5nrFTvr-DVzhg2w7cg","0000318"
"https://youtube.com/channel/UCfK13n7P6JUIKMrI2DtUzkA","0000368"
"https://youtube.com/channel/UCfQnQ1JL2E_T0kuXrE9oFyA","0000061"
"https://youtube.com/channel/UCfXHx9qyqeB3ezHQnHk8zXA","0000284"
"https://youtube.com/channel/UCfXI3c8AWF3smkqRM2Iiaxw","0000440"
"https://youtube.com/channel/UCfcvCv80Ke6DrSvglaeog_w","0000436"
"https://youtube.com/channel/UCfh1vdYBBJbCul4ez_XISXw","0000291"
"https://youtube.com/channel/UCfmwCI6xnGWRw2wjkWIjhfg","0000001"
"https://youtube.com/channel/UCfovTb48BqxOWaZmJNqriHg","0000338"
"https://youtube.com/channel/UCftwRNsjfRo08xYE31tkiyw","0000254"
"https://youtube.com/channel/UCfzyjJzmiqIINIz9uR4gfeg","0000260"
"https://youtube.com/channel/UCgPR3trFb_fZbRADdcsMbfQ","0000120"
"https://youtube.com/channel/UCgZd5ygXFoQry9KDGlddSBg","0000247"
"https://youtube.com/channel/UCgfbXuWeYy6CYEcOL33EpWQ","0000170"
"https://youtube.com/channel/UCgs9VLWRTfJ1KZslze0RJbQ","0000304"
"https://youtube.com/channel/UCh6I_7Us-r4FjT2Y8_u_TAA","0000044"
"https://youtube.com/channel/UCh6KFtW4a4Ozr81GI1cxaBQ","0000023"
"https://youtube.com/channel/UChBNcY-Ssv1jcmxXpBzHICw","0000282"
"https://youtube.com/channel/UChDKyKQ59fYz3JO2fl0Z6sg","0000270"
"https://youtube.com/channel/UChFsYLqPUyLiZnfRog6wiZA","0000379"
"https://youtube.com/channel/UChQ-Kw7q8MuUFZrL00jJ3Tw","0000425"
"https://youtube.com/channel/UChbLQf0sdE2qYleWkvOvlgQ","0000198"
"https://youtube.com/channel/UChbYn187BlBxq5LfGqZSv_A","0000285"
"https://youtube.com/channel/UChrhpjHMvCoJQtXPs17BAQA","0000378"
"https://youtube.com/channel/UCi7Zk9baY1tvdlgxIML8MXg","0000029"
"https://youtube.com/channel/UCiDJRJcyKvztMi_j1btSG4Q","0000345"
"https://youtube.com/channel/UCic3eiFySc8uL2WllMYSemg","0000234"
"https://youtube.com/channel/UCiwVX0b_ggvTzJOz3KUGOxg","0000123"
"https://youtube.com/channel/UCj6E2CB1nRR2Upkzq86K6NA","0000235"
"https://youtube.com/channel/UCj7wKsOBhRD9Jy4yahkMRMw","0000106"
"https://youtube.com/channel/UCj833kJHxjwfV1sGagLK6kw","0000255"
"https://youtube.com/channel/UCjH0RBT-7QhpSgLFnPLgD0Q","0000128"
"https://youtube.com/channel/UCkH1uDkyuO9sVjSqdqBygOg","0000130"
"https://youtube.com/channel/UCkJ9zsR776QqBQRxXA2_8tA","0000238"
"https://youtube.com/channel/UCkWu5WFf4EYsiV0zepVJ_ww","0000377"
"https://youtube.com/channel/UCk_3-WeMBcnZmOPfcOBzqrg","0000335"
"https://youtube.com/channel/UCka5AHr2BQsM53m-VI8lUOw","0000399"
"https://youtube.com/channel/UCkhxWF5CTMUgxneqAFP96LQ","0000125"
"https://youtube.com/channel/UCl1Q_gP3Zj9RLBDg-NW61rw","0000268"
"https://youtube.com/channel/UClGFphK0Wi0BGcL-cVXZ7dw","0000305"
"https://youtube.com/channel/UClduUnSHuTt4ny5I4aas2aw","0000021"
"https://youtube.com/channel/UClyQ1kVOHeu1qSPl7vAqMyA","0000073"
"https://youtube.com/channel/UClzwyrg7Wv3LxObo9R1fV9A","0000430"
"https://youtube.com/channel/UCm-3ZyCwCvM-p1PC9aM3Tfg","0000013"
"https://youtube.com/channel/UCmC77A6pgX9MOr8d9lprCRQ","0000157"
"https://youtube.com/channel/UCmEnDJfwzlfVZyDdIznoiww","0000098"
"https://youtube.com/channel/UCmM5RfPICzDDmjtKXZkZ_5A","0000033"
"https://youtube.com/channel/UCmSPDMxfLphFJlZirsHbP0A","0000028"
"https://youtube.com/channel/UCmh7afBz-uWwOSSNTqUBAhg","0000092"
"https://youtube.com/channel/UCn3zVZvx876xjE7RcZjIpkg","0000181"
"https://youtube.com/channel/UCn8zNIfYAQNdrFRrr8oibKw","0000064"
"https://youtube.com/channel/UCnSeyhv-h67XvXidTqB1dnQ","0000350"
"https://youtube.com/channel/UCnzGgVOWWI_YH485BarGACw","0000429"
"https://youtube.com/channel/UCo7wg51AMdcnMj2slikt1Sw","0000165"
"https://youtube.com/channel/UCo9H0-J-x8F09Vd6Pnqd3xw","0000225"
"https://youtube.com/channel/UCoFX8yfaEwXNEu3HgLdfomQ","0000070"
"https://youtube.com/channel/UCoPveCWw1wfDLok-91DPrhg","0000445"
"https://youtube.com/channel/UCobm38C7IV6DnxypPcTeMhQ","0000279"
"https://youtube.com/channel/UCohZMReM1dQ5BMeYOlr71mA","0000333"
"https://youtube.com/channel/UCoyr1qnpS_OjtxqmGhxcgGg","0000367"
"https://youtube.com/channel/UCp1KrVaZDZ7BOI_QBuTWWmg","0000014"
"https://youtube.com/channel/UCphTF9wHwhCt-BzIq-s4V-g","0000178"
"https://youtube.com/channel/UCpkg3yQRJQMFadIZNWGLK1Q","0000334"
"https://youtube.com/channel/UCq83awFzy2TA6Bcs3y837HA","0000196"
"https://youtube.com/channel/UCqJC83C4f2NmvHYRcMNDv8Q","0000147"
"https://youtube.com/channel/UCqVEHtQoXHmUCfJ-9smpTSg","0000114"
"https://youtube.com/channel/UCqVnkns6Gf3W7J9zWZE4EqA","0000381"
"https://youtube.com/channel/UCqZo9rGtaygOiGJmrrlxr1w","0000016"
"https://youtube.com/channel/UCqtuBEk6FnFnA7MP4gdkuJg","0000038"
"https://youtube.com/channel/UCqw_fKIPHUsREPH0SD6uCvw","0000160"
"https://youtube.com/channel/UCqwkYA4qyEM8A7IlAc3mrqQ","0000306"
"https://youtube.com/channel/UCr4X4IlA5lFJBk-Y-kL3LsA","0000139"
"https://youtube.com/channel/UCrnCSQJB4c1_rOKJRzSZemg","0000067"
"https://youtube.com/channel/UCrp_UI8XtuYfpiqluWLD7Lw","0000121"
"https://youtube.com/channel/UCs-6Eavua51rotGOp_vhchA","0000298"
"https://youtube.com/channel/UCsBofq-Ba-plQy7T8GkqHhg","0000337"
"https://youtube.com/channel/UCsD-Qms-AkXDrsU962OicLw","0000184"
"https://youtube.com/channel/UCsEukrAd64fqA7FjwkmZ_Dw","0000163"
"https://youtube.com/channel/UCsKQmGE6lzp9Ehf5dliFGxg","0000208"
"https://youtube.com/channel/UCsT0YIqwnpJCM-mx7-gSA4Q","0000138"
"https://youtube.com/channel/UCskTqJ_RuEP_4yK9IzwfZYA","0000307"
"https://youtube.com/channel/UCsyLWT0_aBLQOjJx5n7O2fg","0000076"
"https://youtube.com/channel/UCt3g1ExaqC8lVcdumLgJHkw","0000155"
"https://youtube.com/channel/UCtFQDgA8J8_iiwc5-KoAQlg","0000295"
"https://youtube.com/channel/UCtK5rxP5E-FMU9LFpT9S4Rg","0000420"
"https://youtube.com/channel/UCtNyuN_HFlNYO0-gqXwhLTg","0000166"
"https://youtube.com/channel/UCtc-FSS85WOSeqx_aA3kguA","0000229"
"https://youtube.com/channel/UCu4OHd94MHqjlMp_Mgks84w","0000116"
"https://youtube.com/channel/UCugXY6iJWng1Evzrad4vyrQ","0000343"
"https://youtube.com/channel/UCuh8GTgjjc-hj24Yk0wwi0Q","0000391"
"https://youtube.com/channel/UCuk6BG-mh3K1wKLMvNzk5xw","0000185"
"https://youtube.com/channel/UCupvZG-5ko_eiXAupbDfxWw","0000162"
"https://youtube.com/channel/UCw81jSbRv0nQVVXlVCWGgcg","0000032"
"https://youtube.com/channel/UCwP_t_CcwO8sTEDfNg2yfNw","0000024"
"https://youtube.com/channel/UCwWhs_6x42TyRM4Wstoq8HA","0000283"
"https://youtube.com/channel/UCwbOEFSqY9R2yZ1C2JsjTWA","0000030"
"https://youtube.com/channel/UCwhUHrBQT3Xj0pPeNwcbKMw","0000164"
"https://youtube.com/channel/UCxJ4A_SeC6vV9KBfGi_QO-Q","0000263"
"https://youtube.com/channel/UCxaVOVnhmT0-HCUv72jtOTA","0000145"
"https://youtube.com/channel/UCxtbxBDl3jY7-tdLg6qDqfA","0000264"
"https://youtube.com/channel/UCxyiSz4m161Z6frOsFxJpgw","0000167"
"https://youtube.com/channel/UCydeBdXXeqYYQp6lCadUNFg","0000102"
"https://youtube.com/channel/UCytdXbeiYBrWEBvruyTPytg","0000039"
"https://youtube.com/channel/UCyw9Y26bNNhQPkydxY93jyQ","0000240"
"https://youtube.com/channel/UCzWQYUVCpZqtN93H8RR44Qw","0000122"
"https://youtube.com/channel/UCzYD0uh0SAdR9HXFXuE82ZQ","0000216"
"https://youtube.com/channel/UCzZzLGbYx9OHlCjN5TTSv4w","0000153"
"https://youtube.com/channel/UCzbly6r1MKUnO0KfrD__yqg","0000179"
"https://youtube.com/channel/UCznXIpXcPUGXZ1Hy18Y3Vpg","0000287"
